index,token,embedding_file
0,The email came,embeddings_output/performance/embeddings_performance1.npy
1,late one afternoon,embeddings_output/performance/embeddings_performance1.npy
2,as Dr.,embeddings_output/performance/embeddings_performance1.npy
3,Carmen Reed was sitting,embeddings_output/performance/embeddings_performance1.npy
4,in her office,embeddings_output/performance/embeddings_performance1.npy
5,filling out medical,embeddings_output/performance/embeddings_performance1.npy
6,charts for the patients,embeddings_output/performance/embeddings_performance1.npy
7,she had seen,embeddings_output/performance/embeddings_performance1.npy
8,that day.,embeddings_output/performance/embeddings_performance1.npy
9,It had been,embeddings_output/performance/embeddings_performance1.npy
10,a long day at,embeddings_output/performance/embeddings_performance1.npy
11,the busy clinic in,embeddings_output/performance/embeddings_performance1.npy
12,"Chicago where she worked,",embeddings_output/performance/embeddings_performance1.npy
13,and,embeddings_output/performance/embeddings_performance1.npy
14,Carmen was tired,embeddings_output/performance/embeddings_performance1.npy
15,and ready to go home.,embeddings_output/performance/embeddings_performance1.npy
16,But the,embeddings_output/performance/embeddings_performance1.npy
17,email's strange,embeddings_output/performance/embeddings_performance1.npy
18,subject line,embeddings_output/performance/embeddings_performance1.npy
19,caught her eye:,embeddings_output/performance/embeddings_performance1.npy
20,"Fellow doctor,",embeddings_output/performance/embeddings_performance1.npy
21,I need your,embeddings_output/performance/embeddings_performance1.npy
22,help.,embeddings_output/performance/embeddings_performance1.npy
23,It was sent by someone,embeddings_output/performance/embeddings_performance1.npy
24,named Dr.,embeddings_output/performance/embeddings_performance1.npy
25,John Torreson.,embeddings_output/performance/embeddings_performance1.npy
26,"Intrigued,",embeddings_output/performance/embeddings_performance1.npy
27,Carmen began,embeddings_output/performance/embeddings_performance1.npy
28,to read.,embeddings_output/performance/embeddings_performance1.npy
29,Dr.,embeddings_output/performance/embeddings_performance1.npy
30,Torreson said,embeddings_output/performance/embeddings_performance1.npy
31,he was a classmate of Carmen,embeddings_output/performance/embeddings_performance1.npy
32,from medical school.,embeddings_output/performance/embeddings_performance1.npy
33,She did not recognize,embeddings_output/performance/embeddings_performance1.npy
34,his name - but,embeddings_output/performance/embeddings_performance1.npy
35,then again she was not,embeddings_output/performance/embeddings_performance1.npy
36,great with names.,embeddings_output/performance/embeddings_performance1.npy
37,Dr.,embeddings_output/performance/embeddings_performance1.npy
38,Torreson had,embeddings_output/performance/embeddings_performance1.npy
39,spent the last two,embeddings_output/performance/embeddings_performance1.npy
40,two years working,embeddings_output/performance/embeddings_performance1.npy
41,in a remote part of,embeddings_output/performance/embeddings_performance1.npy
42,"Peru, deep",embeddings_output/performance/embeddings_performance1.npy
43,"in the Amazon jungle,",embeddings_output/performance/embeddings_performance1.npy
44,where,embeddings_output/performance/embeddings_performance1.npy
45,a nonprofit organization,embeddings_output/performance/embeddings_performance1.npy
46,had,embeddings_output/performance/embeddings_performance1.npy
47,built a small medical,embeddings_output/performance/embeddings_performance1.npy
48,medical clinic for the villagers.,embeddings_output/performance/embeddings_performance1.npy
49,"But, Dr.",embeddings_output/performance/embeddings_performance1.npy
50,"Torreson wrote,",embeddings_output/performance/embeddings_performance1.npy
51,he needed to return,embeddings_output/performance/embeddings_performance1.npy
52,to the United States,embeddings_output/performance/embeddings_performance1.npy
53,on very short,embeddings_output/performance/embeddings_performance1.npy
54,notice.,embeddings_output/performance/embeddings_performance1.npy
55,The clinic,embeddings_output/performance/embeddings_performance1.npy
56,was the villagers only,embeddings_output/performance/embeddings_performance1.npy
57,source of healthcare,embeddings_output/performance/embeddings_performance1.npy
58,and with Dr.,embeddings_output/performance/embeddings_performance1.npy
59,"Torreson leaving,",embeddings_output/performance/embeddings_performance1.npy
60,the nonprofit,embeddings_output/performance/embeddings_performance1.npy
61,was threatening to,embeddings_output/performance/embeddings_performance1.npy
62,close it down,embeddings_output/performance/embeddings_performance1.npy
63,unless a replacement,embeddings_output/performance/embeddings_performance1.npy
64,doctor could be found,embeddings_output/performance/embeddings_performance1.npy
65,immediately.,embeddings_output/performance/embeddings_performance1.npy
66,Even,embeddings_output/performance/embeddings_performance1.npy
67,if Carmen could,embeddings_output/performance/embeddings_performance1.npy
68,"spare a couple of months,",embeddings_output/performance/embeddings_performance1.npy
69,it would be an,embeddings_output/performance/embeddings_performance1.npy
70,enormous help.,embeddings_output/performance/embeddings_performance1.npy
71,Dr.,embeddings_output/performance/embeddings_performance1.npy
72,"Torreson wrote,",embeddings_output/performance/embeddings_performance1.npy
73,it breaks,embeddings_output/performance/embeddings_performance1.npy
74,my heart to leave this,embeddings_output/performance/embeddings_performance1.npy
75,"place, but",embeddings_output/performance/embeddings_performance1.npy
76,I really hope you consider,embeddings_output/performance/embeddings_performance1.npy
77,coming to work here.,embeddings_output/performance/embeddings_performance1.npy
78,I think you,embeddings_output/performance/embeddings_performance1.npy
79,would find it very rewarding.,embeddings_output/performance/embeddings_performance1.npy
80,Later,embeddings_output/performance/embeddings_performance1.npy
81,that night Carmen thought,embeddings_output/performance/embeddings_performance1.npy
82,it over.,embeddings_output/performance/embeddings_performance1.npy
83,There was little,embeddings_output/performance/embeddings_performance1.npy
84,tying her to Chicago.,embeddings_output/performance/embeddings_performance1.npy
85,She,embeddings_output/performance/embeddings_performance1.npy
86,had friends,embeddings_output/performance/embeddings_performance1.npy
87,"a house, her",embeddings_output/performance/embeddings_performance1.npy
88,Sunday morning tennis,embeddings_output/performance/embeddings_performance1.npy
89,game,embeddings_output/performance/embeddings_performance1.npy
90,but all of that would be there,embeddings_output/performance/embeddings_performance1.npy
91,when she got back.,embeddings_output/performance/embeddings_performance1.npy
92,"Besides,",embeddings_output/performance/embeddings_performance1.npy
93,"it was November,",embeddings_output/performance/embeddings_performance1.npy
94,and,embeddings_output/performance/embeddings_performance1.npy
95,the thought of the upcoming,embeddings_output/performance/embeddings_performance1.npy
96,winter was enough,embeddings_output/performance/embeddings_performance1.npy
97,to make a few months,embeddings_output/performance/embeddings_performance1.npy
98,in the rainforest,embeddings_output/performance/embeddings_performance1.npy
99,sound pretty appealing.,embeddings_output/performance/embeddings_performance1.npy
100,She reached for her,embeddings_output/performance/embeddings_performance1.npy
101,laptop and quickly,embeddings_output/performance/embeddings_performance1.npy
102,typed her response,embeddings_output/performance/embeddings_performance1.npy
103,hitting send,embeddings_output/performance/embeddings_performance1.npy
104,before she could change,embeddings_output/performance/embeddings_performance1.npy
105,her mind.,embeddings_output/performance/embeddings_performance1.npy
106,A week,embeddings_output/performance/embeddings_performance1.npy
107,"later, Carmen",embeddings_output/performance/embeddings_performance1.npy
108,was boarding her plane,embeddings_output/performance/embeddings_performance1.npy
109,at the Chicago airport.,embeddings_output/performance/embeddings_performance1.npy
110,She was both,embeddings_output/performance/embeddings_performance1.npy
111,nervous and excited.,embeddings_output/performance/embeddings_performance1.npy
112,After a,embeddings_output/performance/embeddings_performance1.npy
113,"layover in Lima,",embeddings_output/performance/embeddings_performance1.npy
114,it was a,embeddings_output/performance/embeddings_performance1.npy
115,short flight to Puerto,embeddings_output/performance/embeddings_performance1.npy
116,"Maldonado,",embeddings_output/performance/embeddings_performance1.npy
117,a small town,embeddings_output/performance/embeddings_performance1.npy
118,at the edge of the Amazon,embeddings_output/performance/embeddings_performance1.npy
119,jungle.,embeddings_output/performance/embeddings_performance1.npy
120,As the plane,embeddings_output/performance/embeddings_performance1.npy
121,"started to descend,",embeddings_output/performance/embeddings_performance1.npy
122,Carmen,embeddings_output/performance/embeddings_performance1.npy
123,looked down eagerly,embeddings_output/performance/embeddings_performance1.npy
124,at the landscape,embeddings_output/performance/embeddings_performance1.npy
125,below,embeddings_output/performance/embeddings_performance1.npy
