index,token,embedding_file
0,The email came,embeddings_output/lightweight/embeddings_lightweight.npy
1,late one afternoon,embeddings_output/lightweight/embeddings_lightweight.npy
2,as Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
3,Carmen Reed was sitting,embeddings_output/lightweight/embeddings_lightweight.npy
4,in her office,embeddings_output/lightweight/embeddings_lightweight.npy
5,filling out medical,embeddings_output/lightweight/embeddings_lightweight.npy
6,charts for the patients,embeddings_output/lightweight/embeddings_lightweight.npy
7,she had seen,embeddings_output/lightweight/embeddings_lightweight.npy
8,that day.,embeddings_output/lightweight/embeddings_lightweight.npy
9,It had been,embeddings_output/lightweight/embeddings_lightweight.npy
10,a long day at,embeddings_output/lightweight/embeddings_lightweight.npy
11,the busy clinic in,embeddings_output/lightweight/embeddings_lightweight.npy
12,"Chicago where she worked,",embeddings_output/lightweight/embeddings_lightweight.npy
13,and,embeddings_output/lightweight/embeddings_lightweight.npy
14,Carmen was tired,embeddings_output/lightweight/embeddings_lightweight.npy
15,and ready to go home.,embeddings_output/lightweight/embeddings_lightweight.npy
16,But the,embeddings_output/lightweight/embeddings_lightweight.npy
17,email's strange,embeddings_output/lightweight/embeddings_lightweight.npy
18,subject line,embeddings_output/lightweight/embeddings_lightweight.npy
19,caught her eye:,embeddings_output/lightweight/embeddings_lightweight.npy
20,"Fellow doctor,",embeddings_output/lightweight/embeddings_lightweight.npy
21,I need your,embeddings_output/lightweight/embeddings_lightweight.npy
22,help.,embeddings_output/lightweight/embeddings_lightweight.npy
23,It was sent by someone,embeddings_output/lightweight/embeddings_lightweight.npy
24,named Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
25,John Torreson.,embeddings_output/lightweight/embeddings_lightweight.npy
26,"Intrigued,",embeddings_output/lightweight/embeddings_lightweight.npy
27,Carmen began,embeddings_output/lightweight/embeddings_lightweight.npy
28,to read.,embeddings_output/lightweight/embeddings_lightweight.npy
29,Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
30,Torreson said,embeddings_output/lightweight/embeddings_lightweight.npy
31,he was a classmate of Carmen,embeddings_output/lightweight/embeddings_lightweight.npy
32,from medical school.,embeddings_output/lightweight/embeddings_lightweight.npy
33,She did not recognize,embeddings_output/lightweight/embeddings_lightweight.npy
34,his name - but,embeddings_output/lightweight/embeddings_lightweight.npy
35,then again she was not,embeddings_output/lightweight/embeddings_lightweight.npy
36,great with names.,embeddings_output/lightweight/embeddings_lightweight.npy
37,Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
38,Torreson had,embeddings_output/lightweight/embeddings_lightweight.npy
39,spent the last two,embeddings_output/lightweight/embeddings_lightweight.npy
40,two years working,embeddings_output/lightweight/embeddings_lightweight.npy
41,in a remote part of,embeddings_output/lightweight/embeddings_lightweight.npy
42,"Peru, deep",embeddings_output/lightweight/embeddings_lightweight.npy
43,"in the Amazon jungle,",embeddings_output/lightweight/embeddings_lightweight.npy
44,where,embeddings_output/lightweight/embeddings_lightweight.npy
45,a nonprofit organization,embeddings_output/lightweight/embeddings_lightweight.npy
46,had,embeddings_output/lightweight/embeddings_lightweight.npy
47,built a small medical,embeddings_output/lightweight/embeddings_lightweight.npy
48,medical clinic for the villagers.,embeddings_output/lightweight/embeddings_lightweight.npy
49,"But, Dr.",embeddings_output/lightweight/embeddings_lightweight.npy
50,"Torreson wrote,",embeddings_output/lightweight/embeddings_lightweight.npy
51,he needed to return,embeddings_output/lightweight/embeddings_lightweight.npy
52,to the United States,embeddings_output/lightweight/embeddings_lightweight.npy
53,on very short,embeddings_output/lightweight/embeddings_lightweight.npy
54,notice.,embeddings_output/lightweight/embeddings_lightweight.npy
55,The clinic,embeddings_output/lightweight/embeddings_lightweight.npy
56,was the villagers only,embeddings_output/lightweight/embeddings_lightweight.npy
57,source of healthcare,embeddings_output/lightweight/embeddings_lightweight.npy
58,and with Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
59,"Torreson leaving,",embeddings_output/lightweight/embeddings_lightweight.npy
60,the nonprofit,embeddings_output/lightweight/embeddings_lightweight.npy
61,was threatening to,embeddings_output/lightweight/embeddings_lightweight.npy
62,close it down,embeddings_output/lightweight/embeddings_lightweight.npy
63,unless a replacement,embeddings_output/lightweight/embeddings_lightweight.npy
64,doctor could be found,embeddings_output/lightweight/embeddings_lightweight.npy
65,immediately.,embeddings_output/lightweight/embeddings_lightweight.npy
66,Even,embeddings_output/lightweight/embeddings_lightweight.npy
67,if Carmen could,embeddings_output/lightweight/embeddings_lightweight.npy
68,"spare a couple of months,",embeddings_output/lightweight/embeddings_lightweight.npy
69,it would be an,embeddings_output/lightweight/embeddings_lightweight.npy
70,enormous help.,embeddings_output/lightweight/embeddings_lightweight.npy
71,Dr.,embeddings_output/lightweight/embeddings_lightweight.npy
72,"Torreson wrote,",embeddings_output/lightweight/embeddings_lightweight.npy
73,it breaks,embeddings_output/lightweight/embeddings_lightweight.npy
74,my heart to leave this,embeddings_output/lightweight/embeddings_lightweight.npy
75,"place, but",embeddings_output/lightweight/embeddings_lightweight.npy
76,I really hope you consider,embeddings_output/lightweight/embeddings_lightweight.npy
77,coming to work here.,embeddings_output/lightweight/embeddings_lightweight.npy
78,I think you,embeddings_output/lightweight/embeddings_lightweight.npy
79,would find it very rewarding.,embeddings_output/lightweight/embeddings_lightweight.npy
80,Later,embeddings_output/lightweight/embeddings_lightweight.npy
81,that night Carmen thought,embeddings_output/lightweight/embeddings_lightweight.npy
82,it over.,embeddings_output/lightweight/embeddings_lightweight.npy
83,There was little,embeddings_output/lightweight/embeddings_lightweight.npy
84,tying her to Chicago.,embeddings_output/lightweight/embeddings_lightweight.npy
85,She,embeddings_output/lightweight/embeddings_lightweight.npy
86,had friends,embeddings_output/lightweight/embeddings_lightweight.npy
87,"a house, her",embeddings_output/lightweight/embeddings_lightweight.npy
88,Sunday morning tennis,embeddings_output/lightweight/embeddings_lightweight.npy
89,game,embeddings_output/lightweight/embeddings_lightweight.npy
90,but all of that would be there,embeddings_output/lightweight/embeddings_lightweight.npy
91,when she got back.,embeddings_output/lightweight/embeddings_lightweight.npy
92,"Besides,",embeddings_output/lightweight/embeddings_lightweight.npy
93,"it was November,",embeddings_output/lightweight/embeddings_lightweight.npy
94,and,embeddings_output/lightweight/embeddings_lightweight.npy
95,the thought of the upcoming,embeddings_output/lightweight/embeddings_lightweight.npy
96,winter was enough,embeddings_output/lightweight/embeddings_lightweight.npy
97,to make a few months,embeddings_output/lightweight/embeddings_lightweight.npy
98,in the rainforest,embeddings_output/lightweight/embeddings_lightweight.npy
99,sound pretty appealing.,embeddings_output/lightweight/embeddings_lightweight.npy
100,She reached for her,embeddings_output/lightweight/embeddings_lightweight.npy
101,laptop and quickly,embeddings_output/lightweight/embeddings_lightweight.npy
102,typed her response,embeddings_output/lightweight/embeddings_lightweight.npy
103,hitting send,embeddings_output/lightweight/embeddings_lightweight.npy
104,before she could change,embeddings_output/lightweight/embeddings_lightweight.npy
105,her mind.,embeddings_output/lightweight/embeddings_lightweight.npy
106,A week,embeddings_output/lightweight/embeddings_lightweight.npy
107,"later, Carmen",embeddings_output/lightweight/embeddings_lightweight.npy
108,was boarding her plane,embeddings_output/lightweight/embeddings_lightweight.npy
